R,G,B,Etiqueta
85,99,99,cebolla
80,93,93,cebolla
80,93,93,cebolla
85,99,99,cebolla
90,90,90,cebolla
80,93,93,cebolla
85,85,97,cebolla
93,93,93,cebolla
81,92,92,cebolla
89,89,102,cebolla
85,85,99,cebolla
