R,G,B,Etiqueta
92,107,55,platano
92,106,56,platano
91,106,56,platano
92,108,56,platano
95,105,57,platano
88,106,60,platano
86,107,61,platano
88,107,61,platano
88,106,60,platano
89,106,59,platano
91,108,58,platano
97,105,60,platano
92,102,62,platano
90,104,63,platano
90,105,63,platano
90,103,61,platano
90,106,61,platano
89,104,61,platano
90,105,62,platano
95,114,66,platano
88,109,62,platano
87,102,60,platano
88,107,59,platano
91,107,58,platano
91,107,56,platano
91,107,59,platano
86,106,62,platano
87,107,62,platano
87,107,62,platano
87,107,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
86,106,62,platano
87,107,62,platano
85,106,63,platano
85,106,62,platano
85,107,62,platano
87,106,63,platano
86,106,62,platano
87,107,64,platano
89,107,63,platano
88,106,62,platano
89,107,63,platano
87,107,62,platano
88,108,63,platano
89,106,61,platano
89,108,62,platano
86,107,61,platano
88,106,60,platano
87,107,62,platano
87,106,61,platano
89,106,61,platano
87,105,62,platano
87,105,62,platano
89,107,63,platano
87,105,61,platano
89,107,63,platano
89,105,63,platano
87,105,61,platano
89,107,61,platano
87,105,62,platano
89,106,61,platano
88,107,61,platano
87,106,61,platano
87,106,61,platano
86,105,60,platano
87,105,62,platano
87,107,60,platano
88,107,61,platano
88,107,59,platano
87,107,59,platano
89,106,58,platano
90,107,59,platano
90,107,57,platano
90,108,58,platano
91,109,56,platano
88,109,59,platano
88,108,60,platano
85,108,63,platano
85,106,63,platano
87,108,65,platano
87,105,65,platano
86,107,64,platano
88,108,60,platano
90,107,60,platano
91,108,60,platano
91,108,57,platano
91,108,60,platano
91,108,59,platano
89,109,61,platano
90,106,61,platano
91,107,59,platano
91,107,59,platano
91,107,59,platano
91,107,59,platano
91,107,59,platano
89,105,57,platano
90,107,59,platano
89,106,59,platano
91,107,58,platano
89,105,57,platano
91,104,59,platano
91,104,59,platano
90,106,58,platano
89,107,58,platano
89,105,57,platano
90,107,57,platano
90,107,56,platano
89,106,56,platano
90,107,54,platano
89,108,56,platano
91,107,55,platano
91,108,55,platano
90,107,54,platano
89,105,57,platano
89,106,56,platano
90,107,56,platano
91,111,57,platano
89,106,58,platano
88,106,57,platano
88,107,58,platano
88,107,59,platano
89,108,60,platano
88,107,59,platano
89,108,59,platano
89,108,59,platano
90,107,58,platano
90,105,59,platano
90,102,62,platano
88,106,60,platano
89,107,58,platano
87,108,59,platano
88,106,60,platano
91,107,56,platano
85,102,66,platano
97,114,60,platano
89,102,58,platano
90,105,59,platano
90,107,59,platano
91,107,59,platano
90,104,59,platano
93,106,58,platano
90,105,59,platano
